locus_tag	ftype	gene	EC_number	product
ALJHJBEP_00196	CDS	narJ		Nitrate reductase molybdenum cofactor assembly chaperone NarJ
ALJHJBEP_00197	CDS	narI	1.7.99.4	Respiratory nitrate reductase 1 gamma chain
ALJHJBEP_00198	tRNA			tRNA-Tyr(gta)
ALJHJBEP_00199	tRNA			tRNA-Tyr(gta)
ALJHJBEP_00200	CDS	purU	3.5.1.10	Formyltetrahydrofolate deformylase
ALJHJBEP_00201	CDS			hypothetical protein
ALJHJBEP_00202	CDS			putative NTE family protein
ALJHJBEP_00203	CDS	rssB		Regulator of RpoS
ALJHJBEP_00204	CDS	galU	2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase
ALJHJBEP_00205	CDS	hns		DNA-binding protein H-NS
ALJHJBEP_00206	CDS	tdk	2.7.1.21	Thymidine kinase
ALJHJBEP_00207	CDS	adhE_1		Aldehyde-alcohol dehydrogenase
ALJHJBEP_00208	CDS			hypothetical protein
ALJHJBEP_00209	CDS			hypothetical protein
ALJHJBEP_00210	CDS			hypothetical protein
ALJHJBEP_00211	CDS	oppA		Periplasmic oligopeptide-binding protein
ALJHJBEP_00212	CDS	oppB		Oligopeptide transport system permease protein OppB
ALJHJBEP_00213	CDS	oppC		Oligopeptide transport system permease protein OppC
ALJHJBEP_00214	CDS	oppD_1		Oligopeptide transport ATP-binding protein OppD
ALJHJBEP_00215	CDS	oppF_1		Oligopeptide transport ATP-binding protein OppF
ALJHJBEP_00216	CDS			hypothetical protein
ALJHJBEP_00217	CDS	clsA	2.7.8.-	Cardiolipin synthase A
ALJHJBEP_00218	CDS	kch		Voltage-gated potassium channel Kch
ALJHJBEP_00219	CDS			hypothetical protein
ALJHJBEP_00220	CDS			hypothetical protein
ALJHJBEP_00221	CDS		3.1.2.-	putative acyl-CoA thioester hydrolase
ALJHJBEP_00222	CDS	yciB		putative intracellular septation protein A
ALJHJBEP_00223	CDS			hypothetical protein
ALJHJBEP_00224	CDS	ompW		Outer membrane protein W
ALJHJBEP_00225	CDS			hypothetical protein
ALJHJBEP_00226	CDS	rusA_2	3.1.22.4	Crossover junction endodeoxyribonuclease RusA
ALJHJBEP_00227	CDS			hypothetical protein
ALJHJBEP_00228	CDS			hypothetical protein
ALJHJBEP_00229	CDS			hypothetical protein
ALJHJBEP_00230	CDS			hypothetical protein
ALJHJBEP_00231	CDS			hypothetical protein
ALJHJBEP_00232	CDS			hypothetical protein
ALJHJBEP_00233	CDS			hypothetical protein
ALJHJBEP_00234	CDS			hypothetical protein
ALJHJBEP_00235	CDS			hypothetical protein
ALJHJBEP_00236	CDS			hypothetical protein
ALJHJBEP_00237	CDS			hypothetical protein
ALJHJBEP_00238	CDS			hypothetical protein
ALJHJBEP_00239	CDS			hypothetical protein
ALJHJBEP_00240	CDS			hypothetical protein
ALJHJBEP_00241	CDS			hypothetical protein
ALJHJBEP_00242	CDS	ssb_1		Single-stranded DNA-binding protein
ALJHJBEP_00243	CDS			hypothetical protein
ALJHJBEP_00244	CDS			hypothetical protein
ALJHJBEP_00245	CDS			hypothetical protein
ALJHJBEP_00246	CDS			hypothetical protein
ALJHJBEP_00247	CDS			hypothetical protein
ALJHJBEP_00248	CDS			hypothetical protein
ALJHJBEP_00249	CDS			hypothetical protein
ALJHJBEP_00250	CDS			hypothetical protein
ALJHJBEP_00251	CDS	phoQ	2.7.13.3	Sensor protein PhoQ
ALJHJBEP_00252	CDS	phoP		Transcriptional regulatory protein PhoP
ALJHJBEP_00253	CDS	purB	4.3.2.2	Adenylosuccinate lyase
ALJHJBEP_00254	CDS	hflD		High frequency lysogenization protein HflD
ALJHJBEP_00255	CDS	mnmA	2.8.1.13	tRNA-specific 2-thiouridylase MnmA
ALJHJBEP_00256	CDS	nudJ	3.6.1.-	Phosphatase NudJ
ALJHJBEP_00257	CDS	rluE	5.4.99.20	Ribosomal large subunit pseudouridine synthase E
ALJHJBEP_00258	CDS	icd	1.1.1.42	Isocitrate dehydrogenase [NADP]
ALJHJBEP_00259	CDS			hypothetical protein
ALJHJBEP_00260	CDS			hypothetical protein
ALJHJBEP_00261	CDS			hypothetical protein
ALJHJBEP_00262	CDS			hypothetical protein
ALJHJBEP_00263	CDS			hypothetical protein
ALJHJBEP_00264	CDS			hypothetical protein
ALJHJBEP_00265	CDS			hypothetical protein
ALJHJBEP_00266	CDS	tyrB	2.6.1.57	Aromatic-amino-acid aminotransferase
ALJHJBEP_00267	CDS	alr	5.1.1.1	Alanine racemase, biosynthetic
ALJHJBEP_00268	CDS	dnaB_1	3.6.4.12	Replicative DNA helicase
ALJHJBEP_00269	CDS	qorA	1.6.5.5	Quinone oxidoreductase 1
ALJHJBEP_00270	CDS	pspG		Phage shock protein G
ALJHJBEP_00271	CDS	dusA	1.3.1.-	tRNA-dihydrouridine(20/20a) synthase
ALJHJBEP_00272	CDS	xerC_1		Tyrosine recombinase XerC
ALJHJBEP_00273	CDS	dinI_1		DNA damage-inducible protein I
ALJHJBEP_00274	CDS			hypothetical protein
ALJHJBEP_00275	CDS			hypothetical protein
ALJHJBEP_00276	CDS			hypothetical protein
ALJHJBEP_00277	CDS			hypothetical protein
ALJHJBEP_00278	CDS			Insertion element IS6110 uncharacterized 12.0 kDa protein
ALJHJBEP_00279	CDS			hypothetical protein
ALJHJBEP_00280	CDS			hypothetical protein
ALJHJBEP_00281	CDS			hypothetical protein
ALJHJBEP_00282	CDS			hypothetical protein
ALJHJBEP_00283	CDS	ompX_1		Outer membrane protein X
ALJHJBEP_00284	CDS			hypothetical protein
ALJHJBEP_00285	CDS			hypothetical protein
ALJHJBEP_00286	CDS			hypothetical protein
ALJHJBEP_00287	CDS			hypothetical protein
ALJHJBEP_00288	CDS			hypothetical protein
ALJHJBEP_00289	CDS	klcA_1		Antirestriction protein KlcA
ALJHJBEP_00290	CDS			hypothetical protein
ALJHJBEP_00291	CDS			hypothetical protein
ALJHJBEP_00292	CDS			hypothetical protein
ALJHJBEP_00293	CDS			hypothetical protein
ALJHJBEP_00294	CDS			hypothetical protein
ALJHJBEP_00295	CDS			hypothetical protein
ALJHJBEP_00296	CDS			hypothetical protein
ALJHJBEP_00297	CDS			hypothetical protein
ALJHJBEP_00298	CDS			hypothetical protein
ALJHJBEP_00299	CDS			hypothetical protein
ALJHJBEP_00300	CDS			hypothetical protein
ALJHJBEP_00301	CDS			hypothetical protein
ALJHJBEP_00302	CDS			hypothetical protein
ALJHJBEP_00303	CDS	dnaB_2	3.6.4.12	Replicative DNA helicase
ALJHJBEP_00304	CDS			hypothetical protein
ALJHJBEP_00305	CDS			hypothetical protein
ALJHJBEP_00306	CDS			hypothetical protein
ALJHJBEP_00307	CDS			hypothetical protein
ALJHJBEP_00308	CDS			putative HTH-type transcriptional regulator
ALJHJBEP_00309	CDS			hypothetical protein
ALJHJBEP_00310	CDS			hypothetical protein
ALJHJBEP_00311	CDS			hypothetical protein
ALJHJBEP_00312	CDS			hypothetical protein
ALJHJBEP_00313	CDS			hypothetical protein
ALJHJBEP_00314	CDS			hypothetical protein
ALJHJBEP_00315	CDS			hypothetical protein
ALJHJBEP_00316	CDS			hypothetical protein
ALJHJBEP_00317	CDS			hypothetical protein
ALJHJBEP_00318	CDS			hypothetical protein
ALJHJBEP_00319	CDS			hypothetical protein
ALJHJBEP_00320	CDS			hypothetical protein
ALJHJBEP_00321	CDS			hypothetical protein
ALJHJBEP_00322	CDS			hypothetical protein
ALJHJBEP_00323	CDS			hypothetical protein
ALJHJBEP_00324	CDS	cotSA	2.4.-.-	Spore coat protein SA
ALJHJBEP_00325	CDS			hypothetical protein
ALJHJBEP_00326	CDS	rfaC	2.-.-.-	Lipopolysaccharide heptosyltransferase 1
ALJHJBEP_00327	CDS	rfaF	2.-.-.-	ADP-heptose--LPS heptosyltransferase 2
ALJHJBEP_00328	CDS	hldD	5.1.3.20	ADP-L-glycero-D-manno-heptose-6-epimerase
ALJHJBEP_00329	CDS			hypothetical protein
ALJHJBEP_00330	CDS	kbl	2.3.1.29	2-amino-3-ketobutyrate coenzyme A ligase
ALJHJBEP_00331	CDS	tdh_1	1.1.1.103	L-threonine 3-dehydrogenase
ALJHJBEP_00332	CDS	epsJ	2.4.-.-	putative glycosyltransferase EpsJ
ALJHJBEP_00333	CDS			hypothetical protein
ALJHJBEP_00334	CDS	envC		Murein hydrolase activator EnvC
ALJHJBEP_00335	CDS	gpmI	5.4.2.12	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
ALJHJBEP_00336	CDS	glpE_1	2.8.1.1	Thiosulfate sulfurtransferase GlpE
ALJHJBEP_00337	CDS	grxC		Glutaredoxin 3
ALJHJBEP_00338	CDS	secB		Protein-export protein SecB
ALJHJBEP_00339	CDS	gpsA	1.1.1.94	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
ALJHJBEP_00340	CDS	cysE_1	2.3.1.30	Serine acetyltransferase
ALJHJBEP_00341	CDS	trmL	2.1.1.207	tRNA (cytidine(34)-2'-O)-methyltransferase
ALJHJBEP_00342	CDS	lldD	1.1.-.-	L-lactate dehydrogenase
ALJHJBEP_00343	CDS	lldR_1		Putative L-lactate dehydrogenase operon regulatory protein
ALJHJBEP_00344	CDS	lldP		L-lactate permease
ALJHJBEP_00345	CDS	ehaG		Autotransporter adhesin EhaG
ALJHJBEP_00346	CDS	sadB		Inner membrane lipoprotein SadB
ALJHJBEP_00347	CDS			hypothetical protein
ALJHJBEP_00348	CDS			hypothetical protein
ALJHJBEP_00349	CDS	mtlR_1		Mannitol operon repressor
ALJHJBEP_00350	CDS	mtlD	1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase
ALJHJBEP_00351	CDS	mtlA_1		PTS system mannitol-specific EIICBA component
ALJHJBEP_00352	CDS	yiaW_1		Inner membrane protein YiaW
ALJHJBEP_00353	CDS	yibH		Inner membrane protein YibH
ALJHJBEP_00354	CDS			hypothetical protein
ALJHJBEP_00355	CDS			hypothetical protein
ALJHJBEP_00356	CDS	perA	2.6.1.102	GDP-perosamine synthase
ALJHJBEP_00357	CDS			hypothetical protein
ALJHJBEP_00358	CDS	gmd_1	4.2.1.47	GDP-mannose 4,6-dehydratase
ALJHJBEP_00359	CDS	fcl_1	1.1.1.271	GDP-L-fucose synthase
ALJHJBEP_00360	CDS	gmm_1	3.6.1.-	GDP-mannose mannosyl hydrolase
ALJHJBEP_00361	CDS	manC1_1	2.7.7.13	Mannose-1-phosphate guanylyltransferase 1
ALJHJBEP_00362	CDS	algC_1	5.4.2.2	Phosphomannomutase/phosphoglucomutase
ALJHJBEP_00363	CDS	perB	2.3.1.227	GDP-perosamine N-acetyltransferase
ALJHJBEP_00364	CDS	gnd	1.1.1.44	6-phosphogluconate dehydrogenase, decarboxylating
ALJHJBEP_00365	CDS	ugd	1.1.1.22	UDP-glucose 6-dehydrogenase
ALJHJBEP_00366	CDS	wzzB		Chain length determinant protein
ALJHJBEP_00367	CDS	hisI	3.5.4.19	Phosphoribosyl-AMP cyclohydrolase
ALJHJBEP_00368	CDS	hisF	4.1.3.-	Imidazole glycerol phosphate synthase subunit HisF
ALJHJBEP_00369	CDS	hisA	5.3.1.16	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
ALJHJBEP_00370	CDS	hisH	2.4.2.-	Imidazole glycerol phosphate synthase subunit HisH
ALJHJBEP_00371	CDS	hisB		Histidine biosynthesis bifunctional protein HisB
ALJHJBEP_00372	CDS	hisC	2.6.1.9	Histidinol-phosphate aminotransferase
ALJHJBEP_00373	CDS	hisD	1.1.1.23	Histidinol dehydrogenase
ALJHJBEP_00374	CDS	hisG	2.4.2.17	ATP phosphoribosyltransferase
ALJHJBEP_00375	CDS			hypothetical protein
ALJHJBEP_00376	CDS	yhaJ_1		HTH-type transcriptional regulator YhaJ
ALJHJBEP_00377	CDS	plaP		Low-affinity putrescine importer PlaP
ALJHJBEP_00378	CDS			hypothetical protein
ALJHJBEP_00379	CDS			hypothetical protein
ALJHJBEP_00380	CDS	sbcB	3.1.11.1	Exodeoxyribonuclease I
ALJHJBEP_00381	CDS			hypothetical protein
ALJHJBEP_00382	CDS			hypothetical protein
ALJHJBEP_00383	CDS			hypothetical protein
ALJHJBEP_00384	CDS			hypothetical protein
ALJHJBEP_00385	CDS			hypothetical protein
ALJHJBEP_00386	CDS			hypothetical protein
ALJHJBEP_00387	CDS			hypothetical protein
ALJHJBEP_00388	CDS			hypothetical protein
ALJHJBEP_00389	CDS			hypothetical protein
ALJHJBEP_00390	CDS	ssb_2		Single-stranded DNA-binding protein
ALJHJBEP_00391	CDS			hypothetical protein
ALJHJBEP_00392	CDS			hypothetical protein
ALJHJBEP_00393	CDS			hypothetical protein
ALJHJBEP_00394	CDS			hypothetical protein
ALJHJBEP_00395	CDS			hypothetical protein
ALJHJBEP_00396	CDS			hypothetical protein
ALJHJBEP_00397	CDS			hypothetical protein
ALJHJBEP_00398	CDS			hypothetical protein
ALJHJBEP_00399	CDS			hypothetical protein
ALJHJBEP_00400	CDS			hypothetical protein
ALJHJBEP_00401	CDS	tqsA_1		AI-2 transport protein TqsA
ALJHJBEP_00402	CDS	mdtJ		Spermidine export protein MdtJ
ALJHJBEP_00403	CDS	mdtI		Spermidine export protein MdtI
ALJHJBEP_00404	CDS			hypothetical protein
ALJHJBEP_00405	CDS	asr		Acid shock protein
ALJHJBEP_00406	CDS	ynfM		Inner membrane transport protein YnfM
ALJHJBEP_00407	CDS	hcaR_1		Hca operon transcriptional activator HcaR
ALJHJBEP_00408	CDS	nagC_1		N-acetylglucosamine repressor
ALJHJBEP_00409	CDS	bioD1_1	6.3.3.3	ATP-dependent dethiobiotin synthetase BioD 1
ALJHJBEP_00410	CDS	clcB		Voltage-gated ClC-type chloride channel ClcB
ALJHJBEP_00411	CDS	dmsD		Tat proofreading chaperone DmsD
ALJHJBEP_00412	CDS	dmsC_1		Anaerobic dimethyl sulfoxide reductase chain C
ALJHJBEP_00413	CDS	dmsB_1		Anaerobic dimethyl sulfoxide reductase chain B
ALJHJBEP_00414	CDS	ynfF	1.8.99.-	putative dimethyl sulfoxide reductase chain YnfF
ALJHJBEP_00415	CDS	ynfE	1.8.99.-	Putative dimethyl sulfoxide reductase chain YnfE
ALJHJBEP_00416	CDS			hypothetical protein
ALJHJBEP_00417	CDS			hypothetical protein
ALJHJBEP_00418	CDS	speG	2.3.1.57	Spermidine N(1)-acetyltransferase
ALJHJBEP_00419	CDS			hypothetical protein
ALJHJBEP_00420	CDS			hypothetical protein
ALJHJBEP_00421	CDS	rspA		Starvation-sensing protein RspA
ALJHJBEP_00422	CDS			hypothetical protein
ALJHJBEP_00423	CDS			hypothetical protein
ALJHJBEP_00424	CDS	lpfA_1		putative major fimbrial subunit LpfA
ALJHJBEP_00425	CDS	yraI_1		putative fimbrial chaperone YraI
ALJHJBEP_00426	CDS	elfC_1		putative outer membrane usher protein ElfC
ALJHJBEP_00427	CDS	elfG_1		putative fimbrial-like protein ElfG
ALJHJBEP_00428	CDS	elfG_2		putative fimbrial-like protein ElfG
ALJHJBEP_00429	CDS	pstS_1		Phosphate-binding protein PstS
ALJHJBEP_00430	CDS	pstC		Phosphate transport system permease protein PstC
ALJHJBEP_00431	CDS	pstA		Phosphate transport system permease protein PstA
ALJHJBEP_00432	CDS	pstB	3.6.3.27	Phosphate import ATP-binding protein PstB
ALJHJBEP_00433	CDS	phoU		Phosphate-specific transport system accessory protein PhoU
ALJHJBEP_00434	CDS			hypothetical protein
ALJHJBEP_00435	CDS			hypothetical protein
ALJHJBEP_00436	CDS			hypothetical protein
